player,position,age,team,games,game_starts,minutes,fgm,fga,fg_percent,fg3m,fg3a,fg3_percent,fg2m,fg2a,fg2_percent,e_fg_percent,ftm,fta,ft_percent,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,player_additional
Keegan Murray,SF,22,SAC,20,18,567,82,198,0.414,38,114,0.333,44,84,0.524,0.51,23,27,0.852,18,64,82,18,15,12,31,41,225,murrake02
Chris Boucher,PF,30,TOR,20,0,459,78,171,0.456,17,60,0.283,61,111,0.55,0.506,51,71,0.718,46,79,125,13,16,16,15,50,224,bouchch01
Caris LeVert,SG,28,CLE,20,14,619,76,204,0.373,30,82,0.366,46,122,0.377,0.446,42,53,0.792,19,70,89,90,15,2,37,45,224,leverca01
Jaden McDaniels,PF,22,MIN,20,20,586,88,163,0.54,22,59,0.373,66,104,0.635,0.607,26,34,0.765,28,40,68,26,22,27,31,75,224,mcdanja02
Mason Plumlee,C,32,CHO,24,24,663,85,145,0.586,0,0,NA,85,145,0.586,0.586,54,94,0.574,72,147,219,98,14,13,45,81,224,plumlma01
Santi Aldama,PF,22,MEM,23,16,581,83,180,0.461,29,86,0.337,54,94,0.574,0.542,27,38,0.711,35,100,135,31,19,24,14,61,222,aldamsa01
Georges Niang,PF,29,PHI,23,0,453,78,169,0.462,53,123,0.431,25,46,0.543,0.618,13,15,0.867,5,43,48,26,10,7,18,49,222,niangge01
Brandon Clarke,PF,26,MEM,24,2,461,91,151,0.603,1,6,0.167,90,145,0.621,0.606,37,51,0.725,29,86,115,29,8,21,29,54,220,clarkbr01
James Harden,SG,33,PHI,10,10,369,67,162,0.414,24,71,0.338,43,91,0.473,0.488,61,66,0.924,6,61,67,97,12,6,33,20,219,hardeja01
Grant Williams,PF,24,BOS,24,11,695,77,144,0.535,41,90,0.456,36,54,0.667,0.677,24,28,0.857,20,90,110,45,18,10,20,68,219,willigr01
Grayson Allen,SG,27,MIL,20,18,540,67,147,0.456,40,92,0.435,27,55,0.491,0.592,43,47,0.915,17,53,70,51,16,5,25,31,217,allengr01
Cedi Osman,SF,27,CLE,24,0,557,79,174,0.454,34,98,0.347,45,76,0.592,0.552,25,35,0.714,7,66,73,41,9,3,24,46,217,osmande01
Isaiah Stewart,C,21,DET,18,18,495,70,152,0.461,26,72,0.361,44,80,0.55,0.546,50,67,0.746,47,114,161,24,8,14,19,53,216,stewais01
Jalen Williams,SG,21,OKC,20,8,511,87,163,0.534,14,46,0.304,73,117,0.624,0.577,28,35,0.8,12,54,66,50,12,7,31,53,216,willija06
Tari Eason,PF,21,HOU,24,0,448,81,188,0.431,17,47,0.362,64,141,0.454,0.476,32,38,0.842,53,77,130,20,33,10,19,51,211,easonta01
Josh Hart,SG,27,POR,22,22,782,78,161,0.484,14,43,0.326,64,118,0.542,0.528,41,56,0.732,42,144,186,93,32,3,38,61,211,hartjo01
Bones Hyland,PG,22,DEN,15,0,307,69,173,0.399,40,92,0.435,29,81,0.358,0.514,33,41,0.805,4,25,29,50,9,4,27,24,211,hylanbo01
Patrick Williams,PF,21,CHI,23,22,596,77,171,0.45,29,69,0.42,48,102,0.471,0.535,27,29,0.931,26,66,92,18,16,23,36,48,210,willipa01
Jarred Vanderbilt,PF,23,UTA,24,24,598,87,143,0.608,12,26,0.462,75,117,0.641,0.65,20,32,0.625,55,143,198,66,28,6,39,69,206,vandeja01
Doug McDermott,SF,31,SAS,20,0,414,78,165,0.473,39,96,0.406,39,69,0.565,0.591,10,16,0.625,5,32,37,29,2,3,20,33,205,mcderdo01
Al Horford,C,36,BOS,20,20,632,79,147,0.537,41,88,0.466,38,59,0.644,0.677,5,8,0.625,20,105,125,55,9,20,15,40,204,horfoal01
Terance Mann,SG,26,LAC,25,12,531,81,149,0.544,15,46,0.326,66,103,0.641,0.594,27,37,0.73,24,60,84,45,14,6,26,49,204,mannte01
Killian Hayes,PG,21,DET,25,12,606,81,217,0.373,24,71,0.338,57,146,0.39,0.429,16,19,0.842,11,55,66,117,27,12,43,75,202,hayeski01
Damion Lee,SG,30,PHO,24,0,511,68,147,0.463,45,93,0.484,23,54,0.426,0.616,21,23,0.913,20,67,87,33,12,1,19,37,202,leeda03
Jeremiah Robinson-Earl,PF,22,OKC,23,16,490,77,155,0.497,28,70,0.4,49,85,0.576,0.587,20,26,0.769,43,72,115,22,19,10,14,44,202,robinje02
Jevon Carter,PG,27,MIL,23,21,622,74,172,0.43,34,85,0.4,40,87,0.46,0.529,16,19,0.842,14,48,62,81,32,15,33,60,198,carteje01
Terrence Ross,SG,31,ORL,22,8,538,76,178,0.427,37,94,0.394,39,84,0.464,0.531,9,13,0.692,7,42,49,29,16,4,27,33,198,rosste01
Draymond Green,PF,32,GSW,23,23,714,80,143,0.559,11,35,0.314,69,108,0.639,0.598,26,36,0.722,16,129,145,162,21,19,55,74,197,greendr01
Joe Harris,SG,31,BRK,23,14,600,70,176,0.398,46,125,0.368,24,51,0.471,0.528,11,15,0.733,11,63,74,39,13,6,14,58,197,harrijo01
Aleksej Pokusevski,PF,21,OKC,21,16,469,78,170,0.459,26,70,0.371,52,100,0.52,0.535,13,21,0.619,36,68,104,35,13,31,29,38,195,pokusal01
Dorian Finney-Smith,PF,29,DAL,23,23,753,70,174,0.402,40,122,0.328,30,52,0.577,0.517,14,19,0.737,29,66,95,23,22,11,21,41,194,finnedo01
AJ Griffin,SF,19,ATL,20,3,386,77,163,0.472,32,85,0.376,45,78,0.577,0.571,7,7,1,16,26,42,16,23,1,15,22,193,griffaj01
Tre Mann,PG,21,OKC,21,4,464,76,200,0.38,30,107,0.28,46,93,0.495,0.455,11,17,0.647,11,46,57,38,19,3,22,37,193,manntr01
Monte Morris,PG,27,WAS,21,21,571,75,168,0.446,25,66,0.379,50,102,0.49,0.521,17,23,0.739,9,68,77,106,16,4,18,27,192,morrimo01
Larry Nance Jr.,PF,30,NOP,21,0,466,82,124,0.661,7,17,0.412,75,107,0.701,0.69,19,25,0.76,33,77,110,36,17,17,21,45,190,nancela02
Obi Toppin,PF,24,NYK,24,0,421,71,168,0.423,33,94,0.351,38,74,0.514,0.521,14,17,0.824,14,79,93,26,10,5,19,28,189,toppiob01
Kevin Love,PF,34,CLE,18,1,376,58,138,0.42,39,99,0.394,19,39,0.487,0.562,33,38,0.868,13,120,133,43,3,3,23,25,188,loveke01
John Konchar,SG,26,MEM,22,14,614,68,145,0.469,37,90,0.411,31,55,0.564,0.597,14,16,0.875,30,112,142,31,24,7,17,39,187,konchjo01
Rui Hachimura,PF,24,WAS,16,0,376,76,158,0.481,12,36,0.333,64,122,0.525,0.519,21,29,0.724,12,65,77,17,5,8,22,18,185,hachiru01
Shaedon Sharpe,SG,19,POR,23,5,462,75,160,0.469,21,56,0.375,54,104,0.519,0.534,14,23,0.609,16,40,56,11,7,5,17,38,185,sharpsh01
Talen Horton-Tucker,SG,22,UTA,25,0,421,67,172,0.39,18,71,0.254,49,101,0.485,0.442,28,38,0.737,11,55,66,62,21,9,34,38,180,hortota01
Herbert Jones,SF,24,NOP,17,17,479,63,142,0.444,14,49,0.286,49,93,0.527,0.493,40,54,0.741,21,42,63,35,20,14,21,56,180,joneshe01
Gordon Hayward,SF,32,CHO,11,11,355,65,146,0.445,16,42,0.381,49,104,0.471,0.5,33,43,0.767,7,40,47,48,7,3,28,10,179,haywago01
Goran Dragić,PG,36,CHI,22,0,383,68,156,0.436,25,60,0.417,43,96,0.448,0.516,17,26,0.654,10,27,37,71,6,4,28,31,178,dragigo01
