player,position,age,team,games,game_starts,minutes,fgm,fga,fg_percent,fg3m,fg3a,fg3_percent,fg2m,fg2a,fg2_percent,e_fg_percent,ftm,fta,ft_percent,oreb,dreb,treb,ast,stl,blk,tov,pf,pts,player_additional
Eugene Omoruyi,SF,25,OKC,8,0,95,17,33,0.515,6,13,0.462,11,20,0.55,0.606,7,11,0.636,6,8,14,2,3,0,5,21,47,omorueu01
Matt Ryan,SF,25,LAL,12,0,129,15,49,0.306,13,35,0.371,2,14,0.143,0.439,4,5,0.8,2,12,14,4,2,0,3,14,47,ryanma01
Bruno Fernando,C,24,HOU,8,3,109,20,29,0.69,0,1,0,20,28,0.714,0.69,6,10,0.6,14,21,35,10,4,6,5,16,46,fernabr01
Blake Griffin,PF,33,BOS,9,4,132,17,30,0.567,4,11,0.364,13,19,0.684,0.633,8,11,0.727,11,21,32,8,3,0,6,20,46,griffbl01
Markelle Fultz,SG,24,ORL,4,4,97,19,43,0.442,2,6,0.333,17,37,0.459,0.465,5,6,0.833,5,8,13,16,5,1,8,6,45,fultzma01
Markieff Morris,PF,33,BRK,14,0,145,16,41,0.39,13,28,0.464,3,13,0.231,0.549,0,0,NA,5,22,27,14,5,2,8,17,45,morrima02
Raul Neto,PG,30,CLE,15,0,134,17,36,0.472,4,13,0.308,13,23,0.565,0.528,7,8,0.875,2,11,13,17,6,0,6,9,45,netora01
Otto Porter Jr.,SF,29,TOR,8,2,146,15,30,0.5,6,17,0.353,9,13,0.692,0.6,8,8,1,6,13,19,8,11,0,4,7,44,porteot01
Dario Šarić,PF,28,PHO,11,2,134,16,44,0.364,7,20,0.35,9,24,0.375,0.443,5,7,0.714,15,24,39,12,3,2,6,21,44,saricda01
Gorgui Dieng,C,33,SAS,11,1,117,16,37,0.432,8,27,0.296,8,10,0.8,0.541,3,4,0.75,9,22,31,19,1,5,11,19,43,dienggo01
Bryn Forbes,SG,29,MIN,12,0,124,15,45,0.333,6,24,0.25,9,21,0.429,0.4,7,7,1,3,3,6,9,7,0,5,9,43,forbebr01
Keon Johnson,SG,20,POR,6,0,106,16,45,0.356,8,23,0.348,8,22,0.364,0.444,2,6,0.333,3,12,15,10,5,2,13,10,42,johnske07
Brandon Boston Jr.,SG,21,LAC,7,0,59,15,35,0.429,7,11,0.636,8,24,0.333,0.529,4,6,0.667,3,4,7,3,2,0,3,3,41,bostobr01
Kai Jones,C,22,CHO,15,0,140,17,37,0.459,2,9,0.222,15,28,0.536,0.486,5,8,0.625,13,19,32,4,3,8,5,15,41,joneska01
Day'Ron Sharpe,C,21,BRK,15,0,113,15,31,0.484,3,4,0.75,12,27,0.444,0.532,8,12,0.667,13,30,43,9,3,7,8,24,41,sharpda01
Xavier Tillman Sr.,PF,24,MEM,11,0,127,17,33,0.515,2,6,0.333,15,27,0.556,0.545,4,12,0.333,15,16,31,8,4,5,7,13,40,tillmxa01
Ish Wainright,SF,28,PHO,9,1,124,13,28,0.464,12,24,0.5,1,4,0.25,0.679,2,3,0.667,9,9,18,10,5,2,3,16,40,wainris01
Bryce McGowens,SG,20,CHO,9,0,109,13,28,0.464,4,9,0.444,9,19,0.474,0.536,8,9,0.889,2,9,11,8,3,4,3,4,38,mcgowbr01
Austin Rivers,SG,30,MIN,13,2,169,11,31,0.355,4,20,0.2,7,11,0.636,0.419,12,13,0.923,0,14,14,8,2,1,6,13,38,riverau01
Richaun Holmes,PF,29,SAC,12,0,127,16,24,0.667,1,2,0.5,15,22,0.682,0.688,4,6,0.667,8,17,25,0,2,1,5,19,37,holmeri01
Ish Smith,PG,34,DEN,10,0,120,17,43,0.395,2,6,0.333,15,37,0.405,0.419,1,2,0.5,1,12,13,25,3,6,12,9,37,smithis01
Jamal Cain,SF,23,MIA,8,0,93,15,28,0.536,1,6,0.167,14,22,0.636,0.554,4,6,0.667,7,12,19,5,5,0,2,10,35,cainja01
David Duke Jr.,SG,23,BRK,13,0,101,16,35,0.457,0,4,0,16,31,0.516,0.457,3,4,0.75,4,8,12,9,4,1,9,19,35,dukeda01
JT Thor,PF,20,CHO,14,0,146,12,38,0.316,4,20,0.2,8,18,0.444,0.368,7,9,0.778,8,21,29,8,3,5,9,8,35,thorjt01
Taj Gibson,PF,37,WAS,12,0,77,12,25,0.48,1,6,0.167,11,19,0.579,0.5,8,8,1,6,12,18,4,4,2,3,14,33,gibsota01
Sandro Mamukelashvili,C,23,MIL,11,0,88,11,28,0.393,4,15,0.267,7,13,0.538,0.464,5,10,0.5,5,18,23,3,1,2,4,8,31,mamuksa01
KZ Okpala,PF,23,SAC,14,3,130,11,23,0.478,3,9,0.333,8,14,0.571,0.543,6,6,1,5,16,21,8,3,3,3,17,31,okpalkz01
Matisse Thybulle,SG,25,PHI,20,3,228,12,39,0.308,5,23,0.217,7,16,0.438,0.372,1,3,0.333,6,18,24,8,16,5,3,23,30,thybuma01
Dāvis Bertāns,PF,30,DAL,9,0,64,9,24,0.375,8,19,0.421,1,5,0.2,0.542,3,4,0.75,1,4,5,4,0,0,2,13,29,bertada01
Kennedy Chandler,PG,20,MEM,9,0,105,12,38,0.316,2,11,0.182,10,27,0.37,0.342,3,7,0.429,2,11,13,21,6,3,8,5,29,chandke01
Jarrett Culver,SG,23,ATL,5,1,90,11,23,0.478,1,7,0.143,10,16,0.625,0.5,6,9,0.667,5,20,25,5,5,1,5,10,29,culveja01
Max Christie,SG,19,LAL,10,0,112,9,23,0.391,7,16,0.438,2,7,0.286,0.543,3,4,0.75,1,21,22,5,3,0,2,5,28,chrisma02
Jordan Hall,SF,21,SAS,9,0,83,9,28,0.321,3,15,0.2,6,13,0.462,0.375,7,9,0.778,3,9,12,11,1,0,7,6,28,halljo02
Joshua Primo,SG,20,SAS,4,0,93,9,26,0.346,3,12,0.25,6,14,0.429,0.404,7,9,0.778,2,11,13,18,1,2,11,8,28,primojo01
Terry Taylor,SG,23,IND,15,2,128,11,31,0.355,2,10,0.2,9,21,0.429,0.387,4,5,0.8,9,13,22,6,2,4,4,13,28,taylote01
Khem Birch,C,30,TOR,13,0,91,12,20,0.6,1,1,1,11,19,0.579,0.625,2,2,1,6,8,14,4,4,2,4,17,27,birchkh01
Damian Jones,C,27,LAL,11,1,82,10,21,0.476,0,1,0,10,20,0.5,0.476,7,10,0.7,9,17,26,3,1,5,5,10,27,jonesda03
Garrett Temple,SG,36,NOP,9,0,70,9,22,0.409,5,13,0.385,4,9,0.444,0.523,3,4,0.75,1,5,6,3,6,1,3,6,26,templga01
Juan Toscano-Anderson,SF,29,LAL,12,0,127,10,25,0.4,2,11,0.182,8,14,0.571,0.44,4,5,0.8,1,21,22,6,3,3,8,17,26,toscaju01
Delon Wright,PG,30,WAS,4,0,91,10,24,0.417,3,12,0.25,7,12,0.583,0.479,3,5,0.6,4,6,10,13,11,4,4,5,26,wrighde01
Ochai Agbaji,SG,22,UTA,8,0,72,10,21,0.476,1,7,0.143,9,14,0.643,0.5,4,7,0.571,4,6,10,1,1,0,0,8,25,agbajoc01
Jae'Sean Tate,SF,27,HOU,3,2,68,10,20,0.5,2,5,0.4,8,15,0.533,0.55,3,4,0.75,8,5,13,10,3,0,5,15,25,tateja01
Noah Vonleh,C,27,BOS,16,1,142,11,22,0.5,1,3,0.333,10,19,0.526,0.523,2,2,1,17,23,40,5,2,6,10,29,25,vonleno01
Jabari Walker,SF,20,POR,13,0,105,10,26,0.385,1,8,0.125,9,18,0.5,0.404,4,6,0.667,7,22,29,9,1,2,4,11,25,walkeja01
Mamadi Diakite,PF,26,CLE,10,2,81,10,21,0.476,4,12,0.333,6,9,0.667,0.571,0,0,NA,3,8,11,2,2,4,5,11,24,diakima01
A.J. Green,SG,23,MIL,8,0,47,7,14,0.5,6,12,0.5,1,2,0.5,0.714,3,3,1,1,6,7,2,1,0,1,7,23,greenaj01
Lindy Waters III,SG,25,OKC,5,0,69,8,23,0.348,7,22,0.318,1,1,1,0.5,0,0,NA,2,8,10,2,3,0,0,5,23,waterli01
Bogdan Bogdanović,SG,30,ATL,2,0,45,8,22,0.364,6,16,0.375,2,6,0.333,0.5,0,0,NA,0,5,5,2,1,0,5,1,22,bogdabo01
Khris Middleton,SF,31,MIL,2,2,52,7,22,0.318,3,11,0.273,4,11,0.364,0.386,5,6,0.833,0,3,3,12,1,0,2,6,22,middlkh01
Moussa Diabaté,PF,21,LAC,5,0,53,7,11,0.636,0,0,NA,7,11,0.636,0.636,7,8,0.875,10,9,19,1,2,1,3,5,21,diabamo01
Frank Kaminsky,C,29,ATL,10,0,61,7,12,0.583,3,6,0.5,4,6,0.667,0.708,4,4,1,0,12,12,6,0,0,3,10,21,kaminfr01
Miles McBride,PG,22,NYK,12,0,82,9,28,0.321,1,15,0.067,8,13,0.615,0.339,2,6,0.333,0,3,3,15,5,0,3,9,21,mcbrimi01
Jeff Dowtin,PG,25,TOR,8,0,64,9,17,0.529,1,4,0.25,8,13,0.615,0.559,1,1,1,4,6,10,8,0,1,1,4,20,dowtije01
Wendell Moore Jr.,SG,21,MIN,6,2,48,7,16,0.438,2,8,0.25,5,8,0.625,0.5,2,3,0.667,1,5,6,3,1,1,4,6,18,moorewe01
Greg Brown III,PF,21,POR,7,0,50,7,15,0.467,1,5,0.2,6,10,0.6,0.5,2,8,0.25,1,6,7,0,3,4,3,7,17,browngr01
Udoka Azubuike,C,23,UTA,9,0,35,7,8,0.875,0,0,NA,7,8,0.875,0.875,2,6,0.333,4,12,16,3,2,2,2,2,16,azubuud01
Blake Wesley,SG,19,SAS,2,0,23,6,9,0.667,2,3,0.667,4,6,0.667,0.778,2,4,0.5,1,1,2,4,0,0,2,3,16,weslebl01
Jaden Hardy,SG,20,DAL,5,0,19,6,15,0.4,1,5,0.2,5,10,0.5,0.433,2,2,1,0,3,3,1,0,0,2,5,15,hardyja02
Rodney McGruder,SG,31,DET,8,2,68,5,19,0.263,3,14,0.214,2,5,0.4,0.342,2,2,1,6,8,14,7,0,0,3,2,15,mcgruro01
Ryan Rollins,PG,20,GSW,7,0,43,5,15,0.333,3,8,0.375,2,7,0.286,0.433,2,2,1,1,6,7,3,0,0,12,9,15,rolliry01
Jason Preston,PG,23,LAC,4,0,27,6,13,0.462,2,7,0.286,4,6,0.667,0.538,0,2,0,1,2,3,5,0,0,2,2,14,prestja01
Orlando Robinson,C,22,MIA,2,0,40,6,13,0.462,0,3,0,6,10,0.6,0.462,2,3,0.667,2,7,9,1,2,1,1,5,14,robinor01
T.J. Warren,SF,29,BRK,2,0,35,6,15,0.4,0,2,0,6,13,0.462,0.4,2,2,1,4,2,6,1,1,1,1,2,14,warretj01
Jaylin Williams,PF,20,OKC,5,0,35,5,11,0.455,0,2,0,5,9,0.556,0.455,4,6,0.667,5,5,10,3,1,0,2,6,14,willija07
Matthew Dellavedova,PG,32,SAC,9,0,59,5,17,0.294,2,5,0.4,3,12,0.25,0.353,1,3,0.333,1,3,4,11,2,0,4,5,13,dellama01
James Johnson,PF,35,IND,7,0,62,6,16,0.375,1,7,0.143,5,9,0.556,0.406,0,0,NA,0,8,8,5,1,2,2,16,13,johnsja01
Vit Krejci,PG,22,ATL,11,0,65,5,15,0.333,3,12,0.25,2,3,0.667,0.433,0,0,NA,1,4,5,8,0,1,1,6,13,krejcvi01
Svi Mykhailiuk,SF,25,NYK,7,0,23,4,7,0.571,4,5,0.8,0,2,0,0.857,1,3,0.333,0,5,5,0,0,0,1,0,13,mykhasv01
Alex Len,C,29,SAC,7,0,23,5,8,0.625,0,0,NA,5,8,0.625,0.625,1,2,0.5,3,5,8,1,0,0,0,3,11,lenal01
Kenneth Lofton Jr.,PF,20,MEM,4,0,19,5,12,0.417,0,1,0,5,11,0.455,0.417,1,3,0.333,1,2,3,3,0,0,1,3,11,loftoke01
Nerlens Noel,C,28,DET,6,0,62,4,13,0.308,0,0,NA,4,13,0.308,0.308,3,4,0.75,3,16,19,3,5,2,3,9,11,noelne01
Mark Williams,C,21,CHO,3,0,13,4,7,0.571,0,0,NA,4,7,0.571,0.571,3,3,1,4,4,8,0,0,0,2,3,11,willima07
Patrick Baldwin Jr.,SF,20,GSW,4,0,24,4,10,0.4,2,8,0.25,2,2,1,0.5,0,0,NA,0,6,6,0,3,0,1,0,10,baldwpa01
Facundo Campazzo,PG,31,DAL,8,0,52,3,13,0.231,3,11,0.273,0,2,0,0.346,1,2,0.5,0,2,2,9,6,0,3,3,10,campafa01
Trent Forrest,PG,24,ATL,8,0,62,5,10,0.5,0,0,NA,5,10,0.5,0.5,0,0,NA,2,5,7,9,2,0,2,4,10,forretr01
Jaxson Hayes,C,22,NOP,9,0,67,3,16,0.188,0,8,0,3,8,0.375,0.188,4,7,0.571,3,13,16,5,3,1,3,6,10,hayesja02
Boban Marjanović,C,34,HOU,7,0,25,3,7,0.429,0,1,0,3,6,0.5,0.429,4,6,0.667,1,6,7,1,1,1,2,1,10,marjabo01
Dalen Terry,SG,20,CHI,10,0,33,3,11,0.273,1,4,0.25,2,7,0.286,0.318,3,4,0.75,0,2,2,5,1,2,4,2,10,terryda01
Kendall Brown,SG,19,IND,5,0,35,4,7,0.571,0,1,0,4,6,0.667,0.571,1,2,0.5,2,4,6,3,3,0,1,6,9,brownke03
Johnny Davis,SG,20,WAS,8,0,45,3,11,0.273,0,2,0,3,9,0.333,0.273,3,3,1,1,4,5,2,0,1,1,12,9,davisjo06
Tyler Dorsey,SG,26,DAL,1,0,4,4,4,1,1,1,1,3,3,1,1.125,0,0,NA,1,1,2,0,0,0,0,0,9,dorsety01
Kessler Edwards,SF,22,BRK,12,0,39,3,13,0.231,2,7,0.286,1,6,0.167,0.308,1,2,0.5,2,3,5,2,2,1,1,1,9,edwarke02
Isaiah Mobley,PF,23,CLE,7,0,25,4,8,0.5,1,2,0.5,3,6,0.5,0.563,0,0,NA,1,10,11,0,1,0,0,2,9,mobleis01
Frank Ntilikina,PG,24,DAL,7,0,39,4,11,0.364,1,5,0.2,3,6,0.5,0.409,0,0,NA,0,6,6,4,3,0,2,4,9,ntilila01
Dru Smith,SG,25,MIA,3,0,42,4,9,0.444,1,3,0.333,3,6,0.5,0.5,0,0,NA,0,7,7,2,3,3,1,6,9,smithdr01
Dominick Barlow,SF,19,SAS,3,0,22,2,6,0.333,0,3,0,2,3,0.667,0.333,4,4,1,2,1,3,3,1,0,0,3,8,barlodo01
Tony Bradley,C,25,CHI,6,0,15,2,4,0.5,1,2,0.5,1,2,0.5,0.625,2,2,1,1,6,7,0,1,0,0,0,7,bradlto01
Alize Johnson,PF,26,SAS,3,0,24,3,6,0.5,0,2,0,3,4,0.75,0.5,1,2,0.5,2,7,9,0,1,0,3,1,7,johnsal02
Tyrese Martin,SG,23,ATL,7,0,21,3,6,0.5,1,3,0.333,2,3,0.667,0.583,0,0,NA,2,2,4,0,1,0,0,1,7,martity01
Vince Williams Jr.,SG,22,MEM,6,0,40,3,11,0.273,1,8,0.125,2,3,0.667,0.318,0,0,NA,1,4,5,2,4,1,0,5,7,willivi01
Justin Champagnie,SF,21,TOR,2,0,9,3,3,1,0,0,NA,3,3,1,1,0,0,NA,1,2,3,0,0,0,0,1,6,champju01
Ron Harper Jr.,SF,22,TOR,2,0,8,2,4,0.5,2,3,0.667,0,1,0,0.75,0,0,NA,0,1,1,0,0,0,0,0,6,harpero02
Justin Jackson,SF,27,BOS,9,0,46,2,10,0.2,2,9,0.222,0,1,0,0.3,0,0,NA,0,5,5,2,2,1,0,3,6,jacksju01
Saben Lee,PG,23,PHI,2,0,10,3,4,0.75,0,1,0,3,3,1,0.75,0,0,NA,0,0,0,2,1,0,3,1,6,leesa01
Peyton Watson,SG,20,DEN,6,0,15,3,9,0.333,0,1,0,3,8,0.375,0.333,0,0,NA,2,1,3,0,0,0,0,1,6,watsope01
Nathan Knight,PF,25,MIN,9,0,24,1,3,0.333,0,1,0,1,2,0.5,0.333,3,5,0.6,0,6,6,0,3,0,2,2,5,knighna01
Jaden Springer,PG,20,PHI,2,0,4,2,3,0.667,0,0,NA,2,3,0.667,0.667,1,2,0.5,1,1,2,0,0,1,0,1,5,sprinja01
Leandro Bolmaro,SG,22,UTA,4,0,23,2,7,0.286,0,2,0,2,5,0.4,0.286,0,0,NA,1,0,1,3,2,1,3,4,4,bolmale01
Braxton Key,SF,25,DET,3,0,9,1,1,1,0,0,NA,1,1,1,1,2,2,1,0,1,1,0,0,0,0,0,4,keybr01
Josh Minott,SF,20,MIN,1,0,5,1,1,1,0,0,NA,1,1,1,1,2,2,1,2,1,3,1,0,1,0,1,4,minotjo01
Theo Pinson,SG,27,DAL,7,0,24,1,4,0.25,0,3,0,1,1,1,0.25,2,2,1,0,6,6,2,1,0,1,1,4,pinsoth01
Micah Potter,PF,24,UTA,2,0,12,2,2,1,0,0,NA,2,2,1,1,0,0,NA,1,2,3,1,0,0,0,2,4,pottemi01
Udonis Haslem,PF,42,MIA,4,0,24,1,6,0.167,0,1,0,1,5,0.2,0.167,1,2,0.5,2,2,4,0,1,1,0,4,3,hasleud01
Trevor Hudgins,PG,23,HOU,1,0,4,1,1,1,1,1,1,0,0,NA,1.5,0,0,NA,0,0,0,0,0,0,0,0,3,hudgitr01
Scotty Pippen Jr.,PG,22,LAL,2,0,8,0,2,0,0,0,NA,0,2,0,0,3,4,0.75,1,1,2,0,0,0,1,2,3,pippesc02
Jordan Schakel,SF,24,WAS,2,0,6,1,2,0.5,1,1,1,0,1,0,0.75,0,0,NA,0,0,0,1,1,0,0,1,3,schakjo01
Thanasis Antetokounmpo,SF,30,MIL,11,0,43,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,NA,2,9,11,2,0,2,4,3,2,antetth01
John Butler,C,20,POR,4,0,15,1,3,0.333,0,2,0,1,1,1,0.333,0,0,NA,1,1,2,1,0,1,0,0,2,butlejo01
JD Davison,PG,20,BOS,3,0,8,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,NA,0,1,1,1,1,0,1,0,2,davisjd01
Mfiondu Kabengele,PF,25,BOS,1,0,8,1,2,0.5,0,1,0,1,1,1,0.5,0,0,NA,3,1,4,0,0,0,0,1,2,kabenmf01
A.J. Lawson,SG,22,MIN,1,0,2,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,1,2,lawsoaj01
Chima Moneke,SF,27,SAC,2,0,8,1,2,0.5,0,0,NA,1,2,0.5,0.5,0,2,0,2,0,2,1,0,0,2,2,2,monekch01
Isaiah Todd,PF,21,WAS,4,0,13,1,4,0.25,0,3,0,1,1,1,0.25,0,0,NA,0,0,0,0,0,0,0,0,2,toddis01
Jack White,SF,25,DEN,8,0,26,1,6,0.167,0,2,0,1,4,0.25,0.167,0,0,NA,2,3,5,0,1,2,0,4,2,whiteja03
McKinley Wright IV,PG,24,DAL,1,0,5,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,NA,1,1,2,2,1,0,0,0,2,wrighmc01
TyTy Washington Jr.,PG,21,HOU,1,0,4,0,0,NA,0,0,NA,0,0,NA,NA,1,2,0.5,0,0,0,0,0,0,0,0,1,washity02
Ryan Arcidiacono,PG,28,NYK,6,0,16,0,3,0,0,2,0,0,1,0,0,0,0,NA,0,2,2,2,2,0,1,2,0,arcidry01
Buddy Boeheim,PG,23,DET,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,boehebu01
Vernon Carey Jr.,C,21,WAS,3,0,5,0,2,0,0,0,NA,0,2,0,0,0,0,NA,0,1,1,0,0,0,1,2,0,careyve01
Julian Champagnie,SF,21,PHI,2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,champju02
Devon Dotson,PG,23,WAS,2,0,21,0,3,0,0,1,0,0,2,0,0,0,0,NA,3,1,4,2,1,0,0,3,0,dotsode01
Keon Ellis,SG,23,SAC,1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,1,0,elliske01
Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,fostemi02
Luka Garza,C,24,MIN,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,garzalu01
Malcolm Hill,SF,27,CHI,3,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,0,0,0,hillma01
Trevor Keels,SG,19,NYK,1,0,1,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,1,1,0,0,0,0,0,0,keelstr01
Cody Martin,SF,27,CHO,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,martico01
Trevelin Queen,PG,25,IND,2,0,20,0,3,0,0,3,0,0,0,NA,0,0,0,NA,1,2,3,2,1,1,3,1,0,queentr01
Dereon Seabron,SG,22,NOP,2,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,seabrde01
Marko Simonovic,C,23,CHI,1,0,2,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,simonma01
Cole Swider,SF,23,LAL,1,0,2,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,1,1,1,0,0,0,0,0,swideco01
