Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
173,Tomáš Satoranský,SG,26,WAS,6,0,60,2,13,.154,0,3,.000,2,10,.200,.154,3,4,.750,5,4,9,3,0,0,3,4,7,satorto01
174,Mike Scott,PF,29,WAS,6,0,126,26,41,.634,7,11,.636,19,30,.633,.720,6,6,1.000,6,15,21,4,2,1,5,10,65,scottmi01
175,Pascal Siakam,PF,23,TOR,10,0,179,25,41,.610,3,4,.750,22,37,.595,.646,13,20,.650,9,27,36,8,1,6,7,27,66,siakapa01
176,Ben Simmons,PG,21,PHI,10,10,369,61,125,.488,0,1,.000,61,124,.492,.488,41,58,.707,16,78,94,77,17,8,44,34,163,simmobe01
177,Marcus Smart,SG,23,BOS,15,4,449,48,143,.336,15,68,.221,33,75,.440,.388,36,49,.735,14,42,56,80,26,10,36,44,147,smartma01
178,J.R. Smith,SG,32,CLE,22,21,706,65,187,.348,44,120,.367,21,67,.313,.465,17,22,.773,10,50,60,25,21,4,19,54,191,smithjr01
179,Jason Smith,C,31,WAS,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,smithja02
180,Tony Snell,SG,26,MIL,7,2,134,7,24,.292,5,21,.238,2,3,.667,.396,0,0,,1,12,13,4,3,4,3,10,19,snellto01
181,Lance Stephenson,SG,27,IND,7,0,149,30,65,.462,8,26,.308,22,39,.564,.523,5,9,.556,3,16,19,20,2,1,9,20,73,stephla01
182,David Stockton,PG,26,UTA,2,0,6,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,1,1,0,0,0,0,1,2,stockda01
183,Caleb Swanigan,PF,20,POR,1,0,8,0,2,.000,0,1,.000,0,1,.000,.000,3,4,.750,0,2,2,1,0,0,1,1,3,swanica01
184,Jayson Tatum,SF,19,BOS,19,19,683,123,261,.471,23,71,.324,100,190,.526,.515,82,97,.845,10,73,83,52,23,10,41,50,351,tatumja01
185,Jeff Teague,PG,29,MIN,5,5,153,23,51,.451,7,18,.389,16,33,.485,.520,12,17,.706,3,15,18,29,3,2,14,19,65,teaguje01
186,Jason Terry,SG,40,MIL,3,0,44,2,5,.400,2,5,.400,0,0,,.600,0,0,,1,1,2,2,1,0,1,2,6,terryja01
187,Klay Thompson,SG,27,GSW,21,21,794,159,342,.465,67,157,.427,92,185,.497,.563,27,31,.871,11,75,86,38,16,6,31,48,412,thompkl01
188,Tristan Thompson,C,26,CLE,19,11,416,49,83,.590,0,1,.000,49,82,.598,.590,20,27,.741,44,68,112,11,2,8,11,26,118,thomptr01
189,Karl-Anthony Towns,C,22,MIN,5,5,170,28,60,.467,3,11,.273,25,49,.510,.492,17,23,.739,15,52,67,11,2,5,12,14,76,townska01
190,P.J. Tucker,PF,32,HOU,17,17,569,52,108,.481,35,75,.467,17,33,.515,.644,12,18,.667,23,88,111,22,11,13,14,46,151,tuckepj01
191,Evan Turner,SF,29,POR,3,3,87,12,33,.364,2,7,.286,10,26,.385,.394,2,2,1.000,5,7,12,10,3,1,6,8,28,turneev01
192,Myles Turner,C,21,IND,7,7,196,33,54,.611,6,13,.462,27,41,.659,.667,15,19,.789,6,30,36,4,2,4,11,25,87,turnemy01
193,Ekpe Udoh,C,30,UTA,6,0,21,1,1,1.000,0,0,,1,1,1.000,1.000,0,4,.000,1,2,3,0,0,2,1,2,2,udohek01
194,Jonas Valančiūnas,C,25,TOR,10,9,244,58,107,.542,2,5,.400,56,102,.549,.551,28,34,.824,30,75,105,12,4,15,19,22,146,valanjo01
195,Fred VanVleet,PG,23,TOR,6,1,114,13,39,.333,8,28,.286,5,11,.455,.436,7,8,.875,0,10,10,13,0,0,4,8,41,vanvlfr01
196,Dwyane Wade,SG,36,MIA,5,0,127,31,70,.443,0,4,.000,31,66,.470,.443,21,26,.808,3,18,21,18,7,1,11,11,83,wadedw01
197,John Wall,PG,27,WAS,6,6,234,56,127,.441,4,21,.190,52,106,.491,.457,40,47,.851,3,31,34,69,14,8,27,16,156,walljo01
198,David West,C,37,GSW,18,0,175,27,45,.600,1,2,.500,26,43,.605,.611,4,4,1.000,11,26,37,32,6,10,10,23,59,westda01
199,Russell Westbrook,PG,29,OKC,6,6,235,64,161,.398,15,42,.357,49,119,.412,.444,33,40,.825,11,61,72,45,9,0,31,21,176,westbru01
200,Derrick White,PG,23,SAS,3,0,18,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,0,0,0,1,1,2,0,0,7,whitede01
201,Hassan Whiteside,C,28,MIA,5,5,77,9,20,.450,0,0,,9,20,.450,.450,8,13,.615,10,20,30,1,0,6,12,16,26,whiteha01
202,Andrew Wiggins,SF,22,MIN,5,5,164,30,68,.441,7,21,.333,23,47,.489,.493,12,20,.600,5,21,26,10,2,2,9,14,79,wiggian01
203,Justise Winslow,PF,21,MIA,5,0,125,15,42,.357,7,19,.368,8,23,.348,.440,12,17,.706,7,26,33,13,4,4,8,17,49,winslju01
204,Delon Wright,PG,25,TOR,10,0,215,31,68,.456,9,21,.429,22,47,.468,.522,15,16,.938,3,19,22,23,15,9,9,10,86,wrighde01
205,Guerschon Yabusele,PF,22,BOS,12,0,48,1,9,.111,0,6,.000,1,3,.333,.111,2,5,.400,3,8,11,3,2,0,0,9,4,yabusgu01
206,Joe Young,PG,25,IND,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,youngjo01
207,Nick Young,SG,32,GSW,20,2,205,16,53,.302,14,47,.298,2,6,.333,.434,6,8,.750,1,11,12,4,1,0,2,18,52,youngni01
208,Thaddeus Young,PF,29,IND,7,7,237,36,60,.600,2,7,.286,34,53,.642,.617,5,13,.385,22,32,54,10,12,6,7,22,79,youngth01
209,Tyler Zeller,C,28,MIL,7,3,66,4,5,.800,0,0,,4,5,.800,.800,3,4,.750,2,12,14,3,4,3,1,11,11,zellety01
210,Ante Žižić,C,21,CLE,8,0,23,5,10,.500,0,0,,5,10,.500,.500,3,6,.500,1,5,6,1,0,1,2,2,13,zizican01
